ID,Checking Acct,Credit History,Loan Reason,Savings Acct,Employment,Personal Status,Housing,Job Type,Foreign National,Months since Checking Acct opened ,Residence Time (In current district),Age
781,No Acct,All Paid,Car New,MedHigh,Short,Single,Rent,Unskilled,No,11,2,39
782,Low,Current,Small Appliance,Low,Medium,Single,Rent,Skilled,No,37,4,23
783,No Acct,Current,Small Appliance,Low,Very Short,Divorced,Own,Skilled,No,13,2,28
784,High,Current,Business,Low,Medium,Single,Rent,Skilled,Yes,16,4,25
785,Low,Current,Small Appliance,Low,Medium,Divorced,Own,Unskilled,Yes,9,2,43
786,Low,Current,Other,No Acct,Unemployed,Single,Other,Unemployed,Yes,49,4,39
787,High,Current,Small Appliance,Low,Long,Single,Own,Skilled,Yes,37,2,30
788,Low,All Paid,Furniture,High,Very Short,Divorced,Own,Skilled,Yes,12,1,19
789,No Acct,Current,Small Appliance,Low,Very Short,Married,Own,Skilled,Yes,19,4,38
790,No Acct,Current,Furniture,No Acct,Medium,Divorced,Rent,Unskilled,Yes,16,4,32
791,No Acct,Critical,Car Used,Low,Medium,Single,Own,Management,Yes,25,3,37
792,0Balance,Critical,Furniture,Low,Short,Divorced,Own,Skilled,Yes,13,3,29
793,Low,Current,Car New,Low,Short,Single,Rent,Unskilled,Yes,19,3,27
